"grid","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4","2019-5","2019-6","2019-7","2019-8","2019-9","2019-10","2019-11","2019-12","2020-1","2020-2","2020-3","2020-4","2020-5","2020-6","2020-7","2020-8","2020-9","2020-10","2020-11","2020-12","2021-1","2021-2","2021-3","2021-4","2021-5","2021-6","2021-7","2021-8","2021-9","2021-10","2021-11","2021-12","2022-1","2022-2","2022-3","2022-4","2022-5","2022-6","2022-7","2022-8","2022-9","2022-10","2022-11","2022-12","2023-1","2023-2","2023-3","2023-4","2023-5","2023-6","2023-7","2023-8","2023-9","2023-10","2023-11","2023-12"
"1","55.40809364","58.27926369","60.3661171","64.24145164","60.5721941","55.70396175","48.18637447","41.55857487","42.46300106","45.31402397","49.22995739","51.21788311","54.50421581","56.26851158","57.56244164","54.18855171","51.13904037","47.1088459","43.50582142","40.35596962","39.14739952","38.61497841","40.62476292","44.70110645","53.02613716","55.24393616","56.13329372","53.73897095","49.08732662","42.36765957","35.92077656","31.57519569","31.42340622","32.87774677","37.91619301","43.29405518","45.35205688","52.12482433","56.71938572","52.95159302","48.01480885","42.13539124","41.27542171","41.17568378","37.87456627","41.80179939","49.46349964","55.1199255","56.16270981","55.95726585","61.35257168","57.61015835","54.61549721","45.23303604","43.13930893","40.02296295","44.35533543","51.01192322","56.26460323","58.24916821","57.81127872","57.27507458","54.53784275","53.39644547","46.7999754","39.24798412","37.57522278","35.12320881","34.42924881","34.26033306","37.99836559","41.58082409","48.47553368","52.87405052","54.7016964","50.17954674","47.90400333","43.29176044","38.71668262","36.99782028","36.12624569","38.66081448","40.24476261","43.44316139","47.82687283","53.56536636","55.50783749","50.13728695","48.15066566","48.20410919","47.03451233","43.08780689","42.95959148","47.29472046","50.40547485","51.27668896","54.68504887","56.28167915","59.51202469","57.1687149","53.83092651","48.10568867","45.16984158","47.17905025","49.36984596","48.1785675","48.74876938","51.46755676","56.08633823","58.65070629","56.05994015","52.27176151","47.59753284","45.04849224","39.81319218","36.5800705","35.76761513","38.12460575","42.17804356","44.2734705","53.26778927","57.03974667","56.21656284","54.26113262","48.61320515","40.86355972","36.29966908","35.40668354","34.47394829","35.56915321","42.05696259","47.44783401"
"2","47.82526817","50.24068336","52.04697762","56.19387627","53.05380745","47.72686768","40.37167244","34.17109699","35.44028053","38.41539478","42.33863945","44.24957199","47.37341022","48.71436272","50.36907482","46.60264645","43.59130287","39.73658123","36.40724316","33.53275585","32.56683578","32.13934803","34.12795982","38.17776012","46.53393269","48.88481941","50.11456413","47.09301643","42.29377499","35.89313812","29.86543837","26.08029661","26.22292347","27.71915894","32.81353474","38.32939396","40.45512733","47.23641624","50.17029324","45.63382568","40.94568615","35.41837254","35.04326553","35.33579407","32.33388214","36.5386591","44.23463745","49.02146683","48.94007511","48.6703371","54.37132378","50.07988186","46.73369961","37.61420288","36.00082092","33.4001524","38.12826748","45.01029663","49.49946404","50.52203255","49.70338478","49.56139545","47.27691402","46.65164337","40.3129488","33.03314304","31.69682369","29.64080009","29.1600687","29.01564159","32.77815495","36.29397068","43.32663574","47.56861515","49.37765789","43.88668661","41.47943211","36.96006832","32.49361839","31.07454891","30.43177967","32.86975956","34.46160278","37.73263035","42.17236614","47.77253075","48.60389843","42.9285121","41.21497803","41.49973583","40.49029427","36.81456833","36.79435444","41.17799854","44.26753483","44.91865463","47.89187298","49.03763275","52.49017887","50.12480698","46.26734943","40.67723598","37.92260227","40.33153362","42.76851101","41.80019226","42.4551527","45.07200565","49.5991539","52.22151203","48.43948593","44.80880184","40.35810013","37.91410294","33.05975399","30.27080297","29.80537891","32.26516075","36.42205086","38.473032","47.56167355","50.08782024","48.54697952","46.47584476","41.1032011","33.75574608","29.6416934","29.24987087","28.42505817","29.57294044","36.16859837","41.59544487"
"3","45.16959114","47.95844154","49.9983593","55.19705734","52.44596653","46.52172909","39.67432518","33.31659794","34.51757622","37.51886864","41.47483597","43.70700378","46.76867065","48.5114109","50.31427269","46.44375725","43.79472179","40.88759689","37.10814915","33.4019289","32.4364769","31.99150505","34.20976086","38.24126472","46.18653736","48.86167221","50.36390171","47.42979412","43.21434231","36.40705509","29.97292004","25.9365571","26.15542984","28.10198994","33.12843361","38.71259403","41.11863689","48.3705946","50.89326553","46.25875626","41.60172424","34.66403885","33.9404089","34.19010315","30.85563869","35.08188992","43.08317661","48.6560545","48.83490982","48.67970924","54.53467751","49.75329533","46.41351433","37.15155144","35.77512627","33.36069546","37.12500782","43.559758","48.06036663","50.18939247","49.60789623","49.78192844","47.85824394","47.620298","40.87929478","33.28812199","32.57337132","29.8623251","28.89597082","28.86077385","32.01555119","35.83729343","42.35953827","46.13650494","48.07290668","43.71775627","41.05462379","36.33087101","31.94370747","30.88139191","30.14713554","31.87108154","33.59035301","36.56791248","40.25754795","45.2489933","47.72415657","42.69134531","41.06507397","41.45187149","40.51701508","36.61161308","36.37843628","40.03557129","42.84358349","44.0391983","47.88781452","49.4811039","53.05242481","49.94916763","46.00780449","40.88266602","38.41773548","40.35135193","43.103475","42.02320728","42.07208424","44.7170742","49.32739487","52.26631069","48.13303757","44.97953548","40.81073284","38.49089146","33.36025352","30.6474452","29.70328064","32.4291975","37.09417362","39.24880276","48.44206467","50.41812305","48.7913126","46.80620327","41.65086098","34.21964579","29.95181465","28.74453831","27.16210117","28.39295979","34.68748837","40.32106094"
"4","50.38587799","53.40540199","55.68755989","62.09116707","59.48207607","53.91049767","46.56481037","39.59455891","40.52319794","43.51267319","47.55177078","49.97198887","53.43731079","55.64066048","57.70530319","54.21414318","51.30532551","47.95677757","43.41547565","39.10754375","37.98183308","37.54768066","39.82024708","43.83948536","51.72039299","54.51853447","56.4166544","54.73472557","50.88135643","43.65375195","36.35087643","31.60718985","31.81203175","34.01932487","39.12399311","44.79215527","47.24846268","54.69886017","58.45333252","54.51699829","49.62025356","41.74120083","40.40259361","40.36104736","36.69837656","41.03171978","49.08927402","55.26499767","56.26193581","56.19871941","61.91501102","57.49642067","54.39313869","44.56529827","42.62463245","39.87890987","43.39127693","49.7825058","54.63649693","57.6738842","57.63565941","57.81213017","55.7581892","55.24929409","48.24594402","40.10909348","38.85135746","35.67212238","34.59380493","34.64350376","37.80520287","41.62776318","48.0813755","51.92163506","53.72021484","50.04004269","47.47241058","42.48625736","37.74533119","36.44266014","35.57227345","37.25388279","39.03035183","41.96331425","45.51911316","50.2395874","53.48857613","49.21073914","47.56132584","47.82348328","46.60621223","42.2203104","41.7408432","45.25736713","48.17481041","49.69224472","54.20021954","56.51306496","60.38953152","57.1379734","53.60914116","48.18621578","45.19035645","46.58162727","49.20339966","48.14729443","48.14675541","51.00056362","55.91576023","59.23962994","56.01846523","52.79967136","48.35946007","45.58601246","39.93281937","36.73234673","35.39848595","38.20489597","43.00790653","45.24147835","54.64361362","57.97766361","56.76485691","54.71209507","49.22430592","41.14502068","36.04481659","34.23062439","32.45540218","33.80630894","40.09292679","45.70023136"
"5","50.34026146","53.25070076","55.46227417","62.15270157","59.56405087","53.84152546","46.45923309","39.41982079","40.36859093","43.44937134","47.57645569","50.02271328","53.49597664","55.5656826","58.03817863","54.53042049","51.54650745","48.1586935","43.42616005","38.9058033","37.84322567","37.45630054","39.69757156","43.72048855","51.5972229","54.28150215","56.28995419","54.90832462","51.04349174","43.77654743","36.36958752","31.55470238","31.77119751","34.06015053","39.24065704","44.98668976","47.46407928","55.00275326","58.86123657","54.66245308","49.71123085","41.79399662","40.31065311","40.20321369","36.4927393","40.97835674","49.07891006","55.29738579","56.30760994","56.23540878","62.09855614","57.72542858","54.37827034","44.51478558","42.45167065","39.63948746","43.09432259","49.50505486","54.42546062","57.59864941","57.62033482","57.93149929","56.01185856","55.56757317","48.52488995","40.30750942","38.89348297","35.65551167","34.58944473","34.68401718","37.84207191","41.60476151","48.03588104","51.86999817","53.62556152","49.98862686","47.28575191","42.23706169","37.44907722","36.20142651","35.33059425","37.01258087","38.78046608","41.71321602","45.26935158","50.01081486","53.32567711","49.16562061","47.55061493","47.9520031","46.82757111","42.32044048","41.71176815","45.1991888","48.16892338","49.73131599","54.25682831","56.55107231","60.55105152","57.30492878","53.76903858","48.19861507","45.19742241","46.74482498","49.35703506","48.33668842","48.29427261","51.13285408","56.04677753","59.48623543","56.68477707","53.29706783","48.79147396","45.92901573","40.3425827","37.22017307","35.77229843","38.59018707","43.40888519","45.59290009","55.04488449","58.0374218","56.8580286","54.76412125","49.26333065","41.15082741","35.99463177","34.06499271","32.25203018","33.65718822","39.9720026","45.56481533"
"6","50.86966133","53.83446617","56.08559113","62.62186241","59.62104568","54.04534073","46.9192873","39.98903408","40.8970892","44.01117134","48.07525463","50.44543743","53.71311646","55.66753616","57.96868038","54.56383152","51.84290771","48.8459137","44.22949009","39.60474815","38.58164272","38.15689793","40.29375477","44.3103054","52.13639641","54.59059486","56.51936703","54.7893322","50.80844345","43.62981796","36.19482708","31.43520422","31.541782","33.79444084","38.85959358","44.5187685","47.07073078","54.53669529","58.55541458","54.4544796","49.62601604","42.11467457","40.53339443","40.44747601","36.74148111","41.19092484","49.19073086","55.2564888","56.16424599","56.10245628","61.9556942","57.53482342","54.34861393","44.87112885","42.80260181","39.86804543","43.06951008","49.37612953","54.09379311","57.34137306","57.51562233","57.91120892","56.19658298","55.82941437","48.86471214","40.72148838","39.47722149","36.1404089","34.98668575","35.06953564","38.15204792","41.85982018","48.57839699","52.48909454","54.13055382","50.38143177","47.56018848","42.45920734","37.73629436","36.61064129","35.69326286","37.23937435","38.91556225","41.73325806","45.33488312","49.95682373","53.19770794","49.14566631","47.62329235","48.18907871","47.22197227","42.70248795","42.03196831","45.37878647","48.30171623","49.73697586","54.24758263","56.45547409","60.45498638","57.45395355","53.95389252","48.66972828","45.89981098","47.56211357","50.25134678","49.16606445","48.91197109","51.67241383","56.4003149","59.54266262","57.22225056","53.90823727","49.41671047","46.50395126","41.22663059","38.62412338","36.96619873","39.71107845","44.51247768","46.60680161","55.9287138","58.14324512","56.93970242","54.8427536","49.47991543","41.66908264","36.58128738","34.48573532","32.3945364","33.69647236","39.88041439","45.37048416"
"7","51.67250748","54.37909203","56.58378639","63.23485107","60.07420921","53.85836601","47.34934063","40.8266613","40.86607113","43.94212837","47.70351887","50.16098804","53.67421932","55.81310043","57.6964901","54.27150841","52.28018208","51.36017246","46.2324379","40.78792","40.09754791","39.58786545","41.53070068","45.46245079","52.60900154","54.62084961","56.35649872","53.92178555","49.56595135","42.87470856","35.04562664","30.69569111","31.27047195","33.79511776","38.71183624","44.52507057","47.39025707","55.3527914","58.81921253","54.20749283","49.35845451","42.29366589","40.56759529","40.82788124","37.19361362","41.51390858","49.33718166","54.93655014","55.5828083","55.69845314","61.46939926","56.5194355","54.20097809","45.76929264","43.42034435","39.89989243","41.92986012","47.90483856","51.77247505","55.58755283","57.05983562","57.75023251","56.95603104","56.68793945","48.76090221","40.1791996","40.04461594","36.49617863","34.98193893","35.18845081","38.14927692","42.24788132","51.14465179","55.3213623","56.21625977","51.59780407","48.03237839","42.31602554","37.92181301","37.4201807","36.25664024","37.25240211","38.67650242","40.99263725","44.87837677","48.91200218","52.24351692","48.54658775","46.91920967","47.50744495","47.08807354","42.60234947","42.0083952","44.66017342","47.46798191","48.84651089","53.93169556","56.25874329","60.12191868","56.79661026","53.32788677","48.55237904","45.66021614","46.10328827","49.4058672","48.94828968","48.44699497","51.91418953","56.3757782","58.53785324","56.62975693","53.89025707","49.6783905","45.92345543","40.94124718","39.42217083","37.61223469","40.40353432","45.27559052","47.28502731","56.5409214","57.87097378","56.7583107","54.98202553","49.73522835","42.33298187","37.49665356","35.29051819","32.4044117","33.77080708","39.63576298","44.68420811"
"8","52.03588943","54.7906765","56.94079018","63.51808891","59.98041668","53.91454449","47.41436119","40.89291439","40.93255005","44.00773964","47.77708836","50.16947727","53.68202381","55.86277733","57.71271","54.27062912","52.49346485","51.77552414","46.64312248","41.04599113","40.28948288","39.71817665","41.61009827","45.52736473","52.65718155","54.63041077","56.2626585","53.84773331","49.61244965","42.99793835","35.08113699","30.55167065","30.94340019","33.37949638","38.22797489","43.93798218","46.75458565","54.66433334","58.48836479","54.12791386","49.53893986","42.67314625","40.90321922","40.99812851","37.16789112","41.31279659","49.04212284","54.66691875","55.37510986","55.53238983","61.36326733","56.55168419","54.37230701","46.11672039","43.5947628","39.83219395","41.79354534","47.81052113","51.69338303","55.57988586","57.10106506","57.81767216","57.04650078","56.83281384","49.02608376","40.38977165","40.09548988","36.30459347","34.69090843","34.90076199","37.90438328","41.7742981","50.44041328","55.04401054","56.30086288","51.74009743","48.36418114","42.5928545","37.99825516","37.24386005","35.94415817","36.95897808","38.41688385","40.78282032","44.66627617","48.75948334","52.13311539","48.50676098","46.96176701","47.60256405","47.0844101","42.58964939","41.92423878","44.5485508","47.38559284","48.78050709","53.90513458","56.2416687","60.08153553","57.0049036","53.51343307","48.87664547","45.99455299","46.42471504","49.74091911","49.2720499","48.71864624","52.09202747","56.50911484","58.67976646","57.18712959","54.47388668","50.16310768","46.33639412","41.16559734","39.46617069","37.61893387","40.43723221","45.33055325","47.24891071","56.63162651","57.8328371","56.90345287","55.12098904","49.9280426","42.71517162","37.90495434","35.54904861","32.47249441","33.7945509","39.65548992","44.64061871"
"9","45.42489052","47.96888275","49.85294762","55.7590065","52.68138027","46.18305111","40.15893593","34.33954468","34.73847237","37.96065483","41.69405365","43.76351261","46.86701221","48.58263893","50.58965225","46.88225193","45.41488209","45.09979858","40.39320564","35.15183964","34.61419125","34.09601307","35.92995834","39.75569077","46.70940609","48.6409256","50.46454792","47.59717941","43.33267841","37.32683411","29.86843233","25.04090319","24.72833443","26.99802456","31.85527916","37.61684399","40.41264534","48.22599869","51.45470753","46.49456615","42.54306812","36.43778744","35.21377201","35.54829006","31.8473937","35.99943142","43.75390625","48.51696529","48.11545486","48.15083427","54.20209942","49.28594131","46.78247528","39.310322","37.4425499","33.95941067","36.08016052","42.30108185","45.90377407","48.94258938","49.46381378","50.17461548","49.6925808","49.99851875","42.3150423","34.10540047","34.37333031","30.9868186","29.4040287","29.60754528","32.65796394","36.27715225","44.4103508","48.73778496","50.68286839","45.78733997","42.34980392","36.75698605","32.36514225","31.82179203","30.63618317","31.74013653","33.22406769","35.67823715","39.64434948","43.94349232","46.93967896","42.75174713","41.25484219","41.99871044","41.50215073","37.20751896","36.87586002","39.75841198","42.55957565","43.56274643","47.9334383","49.37519417","52.92560234","50.21146984","46.26452065","41.85333157","39.48951988","40.3015131","43.96151981","43.46726418","42.80406437","45.85171375","49.88947792","52.20721684","51.3003912","48.15627422","43.48739758","39.84807987","34.95373268","33.67392445","32.21967297","35.2719841","40.34203033","41.8731617","50.78644257","50.114575","49.66739006","47.72885876","42.86691227","36.2231596","32.09023838","30.23907967","27.19658871","28.47304115","34.46783428","39.41382656"
"10","48.62692757","51.52914162","53.5030323","56.56006489","52.963871","48.04699898","40.57130718","34.3219141","35.50267143","38.40007954","42.17189312","44.04022808","47.09305573","48.73439808","49.70154057","46.3013546","43.5710865","40.06473389","36.82600555","34.19610386","33.2318716","32.72281055","34.63322201","38.70114689","46.89829617","48.54689369","48.82393894","45.95194054","41.43755379","35.08217592","29.2241703","25.57304888","25.70107193","27.15250378","32.0640604","37.42817307","39.42130547","46.07670097","49.49261799","45.14357109","40.4143362","35.08146572","34.70334816","34.92149544","31.71807356","35.47757301","43.02884731","48.10552216","48.58379383","48.30580559","53.78197079","49.48282986","46.77608509","37.71168537","35.89242897","33.14009686","37.73101273","44.50444489","49.2431633","50.46807518","49.72556782","49.3396059","46.83271732","46.00713634","39.49943027","32.31244507","31.02660789","29.01645012","28.60982227","28.50646515","32.26962852","36.08379555","42.93563652","47.2567255","48.67409878","43.37667475","41.12663097","36.62908249","32.20629539","30.58044472","29.93104038","32.43776436","33.98985519","37.29083481","41.71219788","47.63504372","48.54179192","42.77385035","40.77468166","41.18709888","40.27035294","36.53154106","36.61352634","41.12012138","44.15575504","44.7405592","47.84149494","49.18440399","52.10174961","49.13422699","45.84863281","40.4151289","38.11110477","40.540798","42.78438377","41.62406349","42.22504845","44.83505707","49.13708496","51.04185963","48.085005","44.63429909","40.09136581","37.68873768","32.89618931","30.14962254","29.70588913","32.04375458","36.2345274","38.51622829","47.30656033","49.85607929","48.34137669","46.75220013","41.29687691","33.94129381","29.66124401","29.15249462","28.42184334","29.59622593","36.15420437","41.54057426"
"11","48.74057617","51.52468796","53.15550461","56.1166853","53.72367077","48.71762829","41.39958","35.34692974","36.50111618","39.44179554","43.18206234","44.75164852","47.44133816","48.77393818","49.88345375","46.47770748","43.97696953","40.67906818","37.71750145","35.05443859","34.00878277","33.43096771","35.31865578","39.38933582","47.49790993","48.99641552","49.29997234","46.27443123","42.00666752","35.93257923","29.88436346","25.48790817","24.90117111","26.22754097","31.10455608","36.42240658","38.40547333","45.039114","49.14825916","45.25054512","40.84016628","35.6977396","35.42552605","35.7682724","32.51340952","36.23962688","43.74428902","48.43614063","48.53164234","48.21796799","53.77795315","49.58507309","47.00012321","38.2683197","36.71660748","34.02298546","38.49298878","45.22253952","49.46275578","50.4799448","49.64748993","49.31847839","46.94426422","46.2744133","40.12910576","33.00049191","31.49954014","29.27745266","28.4573061","28.17472725","31.90367966","35.61471443","42.3578455","46.66775208","48.42165699","43.50946627","41.54894428","37.32592182","33.05639935","31.42557888","30.55405445","32.95439987","34.48661041","37.69586964","42.08951492","47.88046398","48.56484604","42.9490366","41.34957981","42.06762142","41.35398941","37.75001373","37.69942036","42.02276306","44.77394352","45.02660923","47.882901","49.08499947","52.08957481","49.7486124","46.38684978","41.21181984","39.06215954","41.6578371","43.78073826","42.39615993","42.77944622","45.13409595","49.25932636","51.27693996","48.16847115","44.8999424","40.65708504","38.4075264","33.67183037","30.82126141","30.0495575","32.36726646","36.61827583","38.83410053","47.6267828","49.98016586","48.41621666","46.67590027","41.53799114","34.43392258","30.17728672","29.34746838","28.24071236","29.17101097","35.61313343","41.00229073"
"12","55.84714928","58.71187553","60.51347466","64.04377174","61.05666294","56.23479328","48.70401039","42.2231678","43.22305622","46.08301048","49.90093346","51.71082268","54.72262135","56.28358688","57.31897774","54.13072853","51.38423367","47.65017681","44.24250488","41.17689877","40.03102589","39.4520216","41.34196033","45.3863205","53.59199104","55.53827438","56.33205013","53.90235863","49.56192551","43.13945465","36.59229774","31.89379587","31.43725529","32.97505131","37.97180882","43.32962379","45.40506001","52.12481155","56.77894669","53.25144558","48.55687275","42.76051006","42.14253407","42.31557884","38.9556284","42.75764904","50.31708775","55.50315113","56.08858681","55.79994926","61.19772339","57.39956264","54.89449711","45.5957325","43.73929424","40.85122166","45.24918861","51.94680042","56.78142529","58.35460625","57.74913559","57.27448006","54.6785635","53.65420399","47.21180916","39.68065434","37.83873711","35.45351162","34.68797359","34.45382137","38.1497715","41.77580643","48.58980179","53.02659702","54.93155613","50.45832634","48.34178772","43.84204273","39.26659641","37.4865694","36.57392025","39.00441246","40.49969158","43.65828667","47.97359161","53.94251442","55.70248108","50.29252033","48.54395027","49.10457287","48.03925686","44.09631157","43.8850378","48.10880318","51.08678627","51.67552776","54.88688583","56.36847","59.61948681","57.37269497","54.11788464","48.68070354","46.07964287","48.31345139","50.42190685","49.04391975","49.37944393","51.90677776","56.42114716","58.7794178","56.10764828","52.68215523","48.16644611","45.45515347","40.34091568","37.19739399","36.29822292","38.69342995","42.93586197","45.13193855","54.02481003","57.32198582","56.26966629","54.42594147","48.90763111","41.38287849","36.65852432","35.48235245","34.25048943","35.20911655","41.61204624","46.92854328"
"13","53.11454163","56.51069794","58.71694603","63.30816841","59.98817406","54.79500198","47.60255909","40.87123184","41.85094013","44.76156673","48.63243141","50.82743492","53.87052746","55.85097923","57.33988457","53.85835457","51.3375679","48.48456211","44.51574497","40.58835449","39.49206581","38.93481197","41.04331207","44.99890614","52.82637978","55.3924263","56.58548069","54.30741444","50.48708878","43.7363184","36.81596622","31.97865353","31.82911453","33.89208813","38.91094303","44.43837738","46.87232342","54.17561169","58.10870838","54.23255978","49.37805233","42.04223862","40.98917084","41.08651142","37.44062252","41.36083488","49.30096951","55.2252039","56.0696209","56.0090477","61.65779972","57.27799511","54.52756367","44.91662521","43.15702171","40.36913757","43.93227291","50.20720425","54.95517559","57.72377281","57.6107851","57.54086838","55.22795601","54.43964825","47.54939175","39.69642372","38.45970898","35.50864201","34.42850227","34.38306465","37.57656136","41.47196026","47.86782722","51.85238304","53.59039383","49.73208809","47.30639076","42.4422163","37.82264767","36.51654263","35.7083437","37.48355045","39.15955887","42.08780785","45.7060154","50.85301647","53.97370682","49.34216595","47.6107626","48.12541924","47.07631664","42.88620834","42.48849678","46.15586033","49.00451355","50.24003563","54.46590061","56.71763229","60.13447018","57.14890938","53.63706036","48.57473869","46.09499607","47.89180603","50.44732647","49.07628155","48.92752628","51.60114174","56.3028532","59.08445091","55.80193024","52.69762363","48.26224937","45.52218819","40.02324448","37.09194336","35.98722019","38.79767246","43.56011734","45.79865608","54.96603241","58.00790882","56.72691555","54.87270241","49.32465","41.58271713","36.85107307","35.17804184","33.33055239","34.47801495","40.77166309","46.38731689"
"14","52.0187397","55.36337547","57.65565071","62.77077599","59.65279274","54.43328686","47.10057678","40.18986168","41.22839603","44.21655369","48.19643536","50.52927666","53.71023369","55.79752922","57.46074562","53.95446987","51.40909061","48.53137093","44.25796776","40.05230579","39.0012373","38.52834148","40.68303146","44.64482403","52.45851479","55.19029503","56.53931179","54.51789474","50.89223423","44.15017757","36.9851656","31.96418467","31.88326168","34.10276737","39.18341446","44.82831478","47.29702072","54.68225956","58.46663399","54.50797424","49.77487431","42.24148712","41.02311382","40.96793594","37.23420343","41.22997952","49.24081383","55.20865078","56.08518333","56.03463402","61.74293842","57.38122139","54.55765095","44.93473644","43.0636446","40.14781818","43.50091114","49.72533703","54.4704874","57.51996403","57.497999","57.6687933","55.55844555","54.92829952","48.08472767","40.20593395","38.72273636","35.47584152","34.38747063","34.38439903","37.51384544","41.38881207","47.72012215","51.59806099","53.33069801","49.67966652","47.24529552","42.35009079","37.70192604","36.32275105","35.47752171","37.11337929","38.82187061","41.70396996","45.20771103","50.03476906","53.3370245","49.0631588","47.53617249","48.29590893","47.32325039","42.93872356","42.40633526","45.91748638","48.70176754","49.99574471","54.35611248","56.66430397","60.30309849","57.26918983","53.80745525","48.8814518","46.42628765","47.90726013","50.4183382","49.05347137","48.75888329","51.42358398","56.15129223","59.10498524","55.80096493","52.71268616","48.46630688","45.7561985","40.1689642","37.03204575","35.79308949","38.64405899","43.4134922","45.59904804","54.8644104","57.97893906","56.76041641","54.8917841","49.56361809","41.97164898","36.94672432","34.83565979","32.86040821","34.05356541","40.28335686","45.89976883"
"15","51.17017212","54.14662971","56.3505558","62.64169807","59.67693825","54.1099802","46.79918919","39.91777782","41.02694111","44.10794735","48.17931767","50.51735477","53.78856659","55.67663078","57.89114838","54.42853088","51.71515579","48.72999706","44.23022041","39.89489441","38.91770153","38.48998756","40.62635059","44.59919147","52.46415176","55.17459259","56.86800327","55.03716965","51.14722824","44.17701206","36.88403473","31.89134998","31.86446362","34.16480217","39.3328701","45.08849487","47.5958889","55.06508198","58.93269329","54.66427364","49.89576035","42.26970863","40.76030807","40.60532608","36.86539812","41.08185863","49.12235394","55.1534481","56.09112053","56.03941269","61.94688034","57.7048893","54.55169926","44.72717686","42.68901711","39.80538654","43.19564667","49.49888992","54.30978317","57.4609148","57.45721149","57.82663822","55.9027338","55.37100525","48.4746664","40.48534603","38.94913616","35.75172882","34.69743767","34.7593832","37.87813206","41.65735779","47.99035149","51.88289871","53.58515816","49.87889824","47.34197826","42.32322693","37.54279404","36.18292389","35.31721077","36.94436264","38.66384163","41.5689043","45.09221878","49.93252773","53.164748","48.98317032","47.46790638","48.24064331","47.30313854","42.82943554","42.16562691","45.6969923","48.53197746","49.88532047","54.29259129","56.55318298","60.38869419","57.26585121","53.82847004","48.63663292","45.98672905","47.62733479","50.29677429","49.04485626","48.76910515","51.42824345","56.20442791","59.43392315","56.1580864","52.97281857","48.65915737","45.80628834","40.37998466","37.40327301","36.11717587","39.00436478","43.77141953","45.88769875","55.24252186","58.0069521","56.82266579","54.92855663","49.49623241","41.76639633","36.71033516","34.5751976","32.61347914","33.89768505","40.13459454","45.71676521"
"16","52.17578545","55.07289352","57.13800545","63.36844025","60.16210976","54.44844875","47.452351","40.69958458","41.71108398","44.79271412","48.82341366","51.04955349","54.13367252","55.84034767","58.1516798","54.70391674","52.14206161","49.4916893","45.1530508","40.73527431","39.71228619","39.21813927","41.25068321","45.23233109","53.02446709","55.49435883","57.17206993","55.2124691","51.05600529","44.08389378","36.79000225","31.79665918","31.62642689","33.87724571","38.93092632","44.62103539","47.18457203","54.67246952","58.70985394","54.52537899","49.90535736","42.61112556","41.03933258","40.94183731","37.18554077","41.4741066","49.41660347","55.30640602","55.98041534","55.9489872","61.94262409","57.42998562","54.56397457","45.04992504","43.11866016","40.23472576","43.43327274","49.67802887","54.26360321","57.34548988","57.45079975","57.91553745","56.25131512","55.92210751","48.98826675","40.95930328","39.72278175","36.6315052","35.41338406","35.44232292","38.51932144","42.2277895","48.85624313","52.75538979","54.40977058","50.56240711","47.86910324","42.83040905","38.03229046","36.77025681","35.77451038","37.25373707","38.89120884","41.6633276","45.19397888","49.85243855","53.01205673","48.98062687","47.52477131","48.42427959","47.71216793","43.238591","42.4019352","45.78416557","48.57634201","49.85827065","54.21972828","56.3809536","60.31042957","57.49563618","54.01465607","48.93060436","46.22755489","47.84053173","50.5988596","49.4067112","49.0366106","51.66214962","56.35662136","59.5457655","57.34978065","54.10058403","49.53460178","46.4971508","41.26466045","38.61261978","37.1527853","40.01364975","44.7689497","46.78408623","56.06290627","58.03133183","56.90153656","54.96176891","49.61326046","42.06796303","37.17906265","34.9361969","32.66743097","33.84502506","39.95116577","45.45257111"
